PID,BIAS,REPS,Elapsed,MS
5,fillerREL,30,5.184444444,724
5,fillerREL,30,2.553055556,737
5,fillerREL,30,1.526388889,810
5,fillerREL,30,5.276666667,811
5,fillerREL,30,4.286666667,852
5,fillerREL,30,4.019166667,892
5,fillerREL,30,4.016388889,931
5,fillerREL,30,1.389444444,985
5,fillerREL,30,1.316111111,1035
5,fillerREL,30,6.023333333,1806
5,fillerUNREL,0,,699
5,fillerUNREL,0,,795
5,fillerUNREL,0,,858
5,fillerUNREL,0,,907
5,fillerUNREL,0,,956
5,fillerUNREL,0,,964
5,fillerUNREL,0,,1043
5,fillerUNREL,0,,1059
5,fillerUNREL,0,,1229
5,fillerUNREL,0,,1251
5,fillerUNREL,0,,3060
5,fillerUNREL,0,,3379
5,fillerUNREL,3,3.368888889,657
5,fillerUNREL,3,3.966666667,659
5,fillerUNREL,3,4.306388889,818
5,fillerUNREL,3,2.581666667,875
5,fillerUNREL,3,3.048888889,901
5,fillerUNREL,3,0.915277778,947
5,fillerUNREL,3,5.239722222,1122
5,fillerUNREL,3,2.34,1180
5,fillerUNREL,3,3.678055556,1265
5,fillerUNREL,3,3.979166667,1329
5,fillerUNREL,3,1.856111111,1507
5,fillerUNREL,3,4.928611111,1691
5,fillerUNREL,30,3.020833333,635
5,fillerUNREL,30,3.544444444,675
5,fillerUNREL,30,3.170277778,829
5,fillerUNREL,30,5.566944444,833
5,fillerUNREL,30,2.2175,868
5,fillerUNREL,30,4.685833333,945
5,fillerUNREL,30,4.431111111,1025
5,fillerUNREL,30,3.446111111,1507
5,fillerUNREL,30,6.076111111,1514
5,fillerUNREL,30,5.554444444,1643
5,fillerUNREL,30,5.094722222,1684
5,fillerUNREL,30,2.524444444,2276
5,subordinate,0,,650
5,subordinate,0,,659
5,subordinate,0,,730
5,subordinate,0,,859
5,subordinate,0,,1025
5,subordinate,0,,1026
5,subordinate,0,,1125
5,subordinate,0,,2378
5,subordinate,3,4.8275,635
5,subordinate,3,4.790833333,653
5,subordinate,3,4.849166667,745
5,subordinate,3,1.394722222,955
5,subordinate,3,2.676388889,1012
5,subordinate,3,2.381111111,1372
5,subordinate,3,6.013333333,1670
5,subordinate,3,4.275,3099
5,subordinate,30,3.009722222,610
5,subordinate,30,5.221666667,651
5,subordinate,30,1.373888889,731
5,subordinate,30,3.212222222,770
5,subordinate,30,3.432222222,819
5,subordinate,30,2.738333333,980
5,subordinate,30,6.112222222,1106
5,subordinate,30,2.656666667,1260
5,unrelated,0,,835
5,unrelated,0,,851
5,unrelated,0,,980
5,unrelated,0,,987
5,unrelated,0,,1187
5,unrelated,0,,1217
5,unrelated,0,,1243
5,unrelated,0,,1651
5,unrelated,3,5.677777778,603
5,unrelated,3,3.029166667,857
